episode,phase,step0_tool,reward,success,top_patterns
0,Tool Familiarization,re_findall,-1.0,0,index:0.172|float:0.168|split:0.167
98,Container Mastery,none,1.0,1,builtins.float:0.140|re.findall:0.100|sympy.sympify:0.090
99,Container Mastery,none,1.0,1,builtins.float:0.140|re.findall:0.100|operator.getitem:0.100
100,Container Mastery,none,1.0,1,builtins.float:0.140|re.findall:0.100|operator.getitem:0.100
101,Container Mastery,none,1.0,1,builtins.float:0.140|re.findall:0.100|operator.getitem:0.100
102,Container Mastery,none,1.0,1,builtins.float:0.140|re.findall:0.100|operator.getitem:0.100
103,Container Mastery,re.findall,-1.0,0,builtins.float:0.091|operator.getitem:0.067|operator.getitem:0.067
104,Container Mastery,none,1.0,1,operator.getitem:0.100|builtins.float:0.091|operator.getitem:0.067
105,Container Mastery,builtins.float,-1.0,0,operator.getitem:0.091|builtins.float:0.073|operator.getitem:0.070
106,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.091|builtins.float:0.073
107,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.091
108,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
109,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
110,Container Mastery,operator.getitem,-1.0,0,operator.getitem:0.073|operator.getitem:0.073|operator.getitem:0.073
111,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.073|operator.getitem:0.073
112,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.073
113,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
114,Container Mastery,sympy.sympify,-1.0,0,operator.getitem:0.077|operator.getitem:0.077|operator.getitem:0.076
115,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.077|operator.getitem:0.077
116,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.077
117,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
118,Container Mastery,operator.getitem,-1.0,0,operator.getitem:0.076|operator.getitem:0.076|operator.getitem:0.076
119,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.076|operator.getitem:0.076
120,Container Mastery,operator.getitem,-1.0,0,operator.getitem:0.079|operator.getitem:0.077|operator.getitem:0.075
121,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.079|operator.getitem:0.077
122,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.100|operator.getitem:0.079
123,Container Mastery,re.findall,-1.0,0,operator.getitem:0.079|operator.getitem:0.076|operator.getitem:0.069
124,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.079|operator.getitem:0.076
125,Container Mastery,none,1.0,1,operator.getitem:0.100|re.findall:0.100|operator.getitem:0.079
126,Container Mastery,none,1.0,1,operator.getitem:0.100|re.findall:0.100|re.findall:0.100
127,Container Mastery,operator.getitem,-1.0,0,operator.getitem:0.069|operator.getitem:0.069|operator.getitem:0.067
128,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.069|operator.getitem:0.069
129,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.100|operator.getitem:0.069
130,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.100|operator.getitem:0.100
131,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.100|operator.getitem:0.100
132,Container Mastery,operator.getitem,-1.0,0,operator.getitem:0.072|operator.getitem:0.068|operator.getitem:0.068
133,Container Mastery,none,1.0,1,re.findall:0.100|operator.getitem:0.072|operator.getitem:0.068
134,Container Mastery,operator.getitem,-1.0,0,re.findall:0.069|operator.getitem:0.065|operator.getitem:0.064
135,Container Mastery,none,1.0,1,operator.getitem:0.100|re.findall:0.069|operator.getitem:0.065
136,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|re.findall:0.069
137,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
138,Container Mastery,operator.getitem,-1.0,0,operator.getitem:0.078|operator.getitem:0.078|operator.getitem:0.076
139,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.078|operator.getitem:0.078
140,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.078
141,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
142,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
143,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
144,Container Mastery,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
145,Sensory Priming,none,1.0,1,operator.getitem:0.100|operator.getitem:0.100|operator.getitem:0.100
146,Sensory Priming,operator.getitem,-1.0,0,operator.getitem:0.061|operator.getitem:0.061|operator.getitem:0.061
147,Sensory Priming,none,1.0,1,re.findall:0.100|operator.getitem:0.061|operator.getitem:0.061
148,Sensory Priming,re.findall,-1.0,0,re.findall:0.073|operator.getitem:0.063|operator.getitem:0.061
149,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.073|operator.getitem:0.063
150,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.073
151,Sensory Priming,operator.getitem,-1.0,0,re.findall:0.067|re.findall:0.066|operator.getitem:0.062
152,Sensory Priming,operator.getitem,-1.0,0,operator.getitem:0.070|operator.getitem:0.064|operator.getitem:0.062
153,Sensory Priming,none,1.0,1,re.findall:0.100|operator.getitem:0.070|operator.getitem:0.064
154,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|operator.getitem:0.070
155,Sensory Priming,operator.getitem,-1.0,0,re.findall:0.074|re.findall:0.069|operator.getitem:0.068
156,Sensory Priming,operator.getitem,-1.0,0,operator.getitem:0.078|re.findall:0.074|operator.getitem:0.070
157,Sensory Priming,none,1.0,1,re.findall:0.100|operator.getitem:0.078|re.findall:0.074
158,Sensory Priming,re.findall,-1.0,0,operator.getitem:0.081|operator.getitem:0.072|re.findall:0.071
159,Sensory Priming,none,1.0,1,re.findall:0.100|operator.getitem:0.081|operator.getitem:0.072
160,Sensory Priming,re.findall,-1.0,0,re.findall:0.084|operator.getitem:0.082|operator.getitem:0.072
161,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.084|operator.getitem:0.082
162,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.084
163,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
164,Sensory Priming,operator.getitem,-1.0,0,re.findall:0.075|re.findall:0.073|re.findall:0.072
165,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.075|re.findall:0.073
166,Sensory Priming,re.findall,-1.0,0,re.findall:0.089|re.findall:0.077|re.findall:0.071
167,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.089|re.findall:0.077
168,Sensory Priming,operator.getitem,-1.0,0,re.findall:0.090|re.findall:0.089|re.findall:0.083
169,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.090|re.findall:0.089
170,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.090
171,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
172,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
173,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
174,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
175,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
176,Sensory Priming,none,1.0,1,re.findall:0.100|re.findall:0.100|re.findall:0.100
177,Hierarchical Chaining,re.findall,-1.0,0,re.findall:0.058|re.findall:0.057|re.findall:0.056
178,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|re.findall:0.058|re.findall:0.057
179,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|re.findall:0.058
180,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
181,Hierarchical Chaining,re.findall,-1.0,0,builtins.float:0.060|math.sqrt:0.059|math.sqrt:0.058
182,Hierarchical Chaining,re.findall,-1.0,0,re.findall:0.061|re.findall:0.059|re.findall:0.059
183,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|re.findall:0.061|re.findall:0.059
184,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|re.findall:0.061
185,Hierarchical Chaining,operator.getitem,-1.0,0,math.sqrt:0.068|math.sqrt:0.062|re.findall:0.060
186,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.068|math.sqrt:0.062
187,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.068
188,Hierarchical Chaining,re.findall,-1.0,0,math.sqrt:0.071|math.sqrt:0.065|re.findall:0.061
189,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.071|math.sqrt:0.065
190,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.078|re.findall:0.066|math.sqrt:0.061
191,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.078|re.findall:0.066
192,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.078
193,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
194,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
195,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.067|math.sqrt:0.062|builtins.float:0.061
196,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.066|math.sqrt:0.062|re.findall:0.062
197,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.066|math.sqrt:0.062
198,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.066
199,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.100
200,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.074|math.sqrt:0.074|math.sqrt:0.072
201,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.081|math.sqrt:0.079|math.sqrt:0.072
202,Hierarchical Chaining,re.findall,-1.0,0,math.sqrt:0.086|math.sqrt:0.086|math.sqrt:0.075
203,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.092|math.sqrt:0.088|math.sqrt:0.078
204,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.092|math.sqrt:0.088
205,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.092
206,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.100
207,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.100
208,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.100
209,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.100
210,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.100
211,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.100
212,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.058|math.sqrt:0.058|math.sqrt:0.058
213,Hierarchical Chaining,re.findall,-1.0,0,math.sqrt:0.067|math.sqrt:0.066|math.sqrt:0.065
214,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.067|math.sqrt:0.066
215,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.092|math.sqrt:0.068|math.sqrt:0.067
216,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.092|math.sqrt:0.068
217,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.097|math.sqrt:0.072|builtins.float:0.070
218,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.097|math.sqrt:0.072
219,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|math.sqrt:0.097
220,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|math.sqrt:0.100
221,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|math.sqrt:0.100
222,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|math.sqrt:0.100
223,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.076|math.sqrt:0.069|math.sqrt:0.069
224,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.076|math.sqrt:0.069
225,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.093|math.sqrt:0.078|math.sqrt:0.073
226,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.093|math.sqrt:0.078
227,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.090|math.sqrt:0.089|math.sqrt:0.079
228,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.090|math.sqrt:0.089
229,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.090|math.sqrt:0.090|math.sqrt:0.086
230,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.090|math.sqrt:0.090
231,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.090
232,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.085|math.sqrt:0.085|math.sqrt:0.084
233,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.098|math.sqrt:0.094|math.sqrt:0.091
234,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.098|math.sqrt:0.094
235,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.106|math.sqrt:0.097|math.sqrt:0.096
236,Hierarchical Chaining,none,1.0,1,math.sqrt:0.106|math.sqrt:0.100|math.sqrt:0.097
237,Hierarchical Chaining,none,1.0,1,math.sqrt:0.106|math.sqrt:0.100|math.sqrt:0.100
238,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.105|math.sqrt:0.092|math.sqrt:0.087
239,Hierarchical Chaining,none,1.0,1,math.sqrt:0.105|math.sqrt:0.100|math.sqrt:0.092
240,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.103|math.sqrt:0.095|math.sqrt:0.094
241,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.111|math.sqrt:0.109|math.sqrt:0.106
242,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.121|math.sqrt:0.121|math.sqrt:0.120
243,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.133|math.sqrt:0.132|math.sqrt:0.130
244,Hierarchical Chaining,none,1.0,1,math.sqrt:0.133|math.sqrt:0.132|math.sqrt:0.130
245,Hierarchical Chaining,none,1.0,1,math.sqrt:0.133|math.sqrt:0.132|math.sqrt:0.130
246,Hierarchical Chaining,none,1.0,1,math.sqrt:0.133|math.sqrt:0.132|math.sqrt:0.130
247,Hierarchical Chaining,none,1.0,1,math.sqrt:0.133|math.sqrt:0.132|math.sqrt:0.130
248,Hierarchical Chaining,none,1.0,1,math.sqrt:0.133|math.sqrt:0.132|math.sqrt:0.130
249,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.096|math.sqrt:0.096|math.sqrt:0.091
250,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.096|math.sqrt:0.096
251,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.096
252,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.084|math.sqrt:0.083|math.sqrt:0.083
253,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.091|math.sqrt:0.085|math.sqrt:0.083
254,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.091|math.sqrt:0.085
255,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.096|math.sqrt:0.093|math.sqrt:0.086
256,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.096|math.sqrt:0.093
257,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.098|math.sqrt:0.096|math.sqrt:0.091
258,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.098|math.sqrt:0.096
259,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.101|math.sqrt:0.094|math.sqrt:0.093
260,Hierarchical Chaining,none,1.0,1,math.sqrt:0.101|math.sqrt:0.100|math.sqrt:0.094
261,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.102|math.sqrt:0.100|math.sqrt:0.094
262,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.119|math.sqrt:0.105|math.sqrt:0.104
263,Hierarchical Chaining,none,1.0,1,math.sqrt:0.119|math.sqrt:0.105|math.sqrt:0.104
264,Hierarchical Chaining,none,1.0,1,math.sqrt:0.119|math.sqrt:0.105|math.sqrt:0.104
265,Hierarchical Chaining,none,1.0,1,math.sqrt:0.119|math.sqrt:0.105|math.sqrt:0.104
266,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.116|math.sqrt:0.091|math.sqrt:0.084
267,Hierarchical Chaining,none,1.0,1,math.sqrt:0.116|builtins.float:0.100|math.sqrt:0.091
268,Hierarchical Chaining,none,1.0,1,math.sqrt:0.116|builtins.float:0.100|builtins.float:0.100
269,Hierarchical Chaining,none,1.0,1,math.sqrt:0.116|builtins.float:0.100|builtins.float:0.100
270,Hierarchical Chaining,none,1.0,1,math.sqrt:0.116|builtins.float:0.100|builtins.float:0.100
271,Hierarchical Chaining,none,1.0,1,math.sqrt:0.116|builtins.float:0.100|builtins.float:0.100
272,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.099|math.sqrt:0.074|math.sqrt:0.069
273,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.099|math.sqrt:0.074
274,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.100|math.sqrt:0.099
275,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.102|math.sqrt:0.090|math.sqrt:0.072
276,Hierarchical Chaining,none,1.0,1,math.sqrt:0.102|builtins.float:0.100|math.sqrt:0.090
277,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.107|math.sqrt:0.099|builtins.float:0.080
278,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.120|math.sqrt:0.119|math.sqrt:0.082
279,Hierarchical Chaining,none,1.0,1,math.sqrt:0.120|math.sqrt:0.119|builtins.float:0.100
280,Hierarchical Chaining,none,1.0,1,math.sqrt:0.120|math.sqrt:0.119|builtins.float:0.100
281,Hierarchical Chaining,none,1.0,1,math.sqrt:0.120|math.sqrt:0.119|builtins.float:0.100
282,Hierarchical Chaining,none,1.0,1,math.sqrt:0.120|math.sqrt:0.119|builtins.float:0.100
283,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.100|math.sqrt:0.094|builtins.float:0.070
284,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.107|math.sqrt:0.101|builtins.float:0.076
285,Hierarchical Chaining,none,1.0,1,math.sqrt:0.107|math.sqrt:0.101|builtins.float:0.100
286,Hierarchical Chaining,none,1.0,1,math.sqrt:0.107|math.sqrt:0.101|builtins.float:0.100
287,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.092|math.sqrt:0.085|builtins.float:0.083
288,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.092|math.sqrt:0.085
289,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.092
290,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|builtins.float:0.100
291,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.077|builtins.float:0.075|math.sqrt:0.073
292,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.077|builtins.float:0.075
293,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.087|builtins.float:0.079|builtins.float:0.078
294,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.087|builtins.float:0.079
295,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.087
296,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.082|math.sqrt:0.081|builtins.float:0.076
297,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.082|math.sqrt:0.081
298,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|math.sqrt:0.082
299,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|builtins.float:0.100
300,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|builtins.float:0.100
301,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|builtins.float:0.100
302,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|builtins.float:0.100
303,Hierarchical Chaining,math.sqrt,-1.0,0,builtins.float:0.064|builtins.float:0.064|builtins.float:0.063
304,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.064|builtins.float:0.064
305,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.076|builtins.float:0.065|builtins.float:0.064
306,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.076|builtins.float:0.065
307,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.088|builtins.float:0.070|builtins.float:0.064
308,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.095|builtins.float:0.083|builtins.float:0.072
309,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.101|builtins.float:0.093|builtins.float:0.080
310,Hierarchical Chaining,none,1.0,1,builtins.float:0.101|math.sqrt:0.100|builtins.float:0.093
311,Hierarchical Chaining,math.sqrt,-1.0,0,builtins.float:0.115|builtins.float:0.084|builtins.float:0.077
312,Hierarchical Chaining,none,1.0,1,builtins.float:0.115|builtins.float:0.100|builtins.float:0.084
313,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.119|builtins.float:0.091|builtins.float:0.076
314,Hierarchical Chaining,none,1.0,1,builtins.float:0.119|builtins.float:0.100|builtins.float:0.091
315,Hierarchical Chaining,none,1.0,1,builtins.float:0.119|builtins.float:0.100|math.sqrt:0.100
316,Hierarchical Chaining,none,1.0,1,builtins.float:0.119|builtins.float:0.100|math.sqrt:0.100
317,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.103|builtins.float:0.081|builtins.float:0.076
318,Hierarchical Chaining,none,1.0,1,builtins.float:0.103|math.sqrt:0.100|builtins.float:0.081
319,Hierarchical Chaining,none,1.0,1,builtins.float:0.103|math.sqrt:0.100|builtins.float:0.100
320,Hierarchical Chaining,none,1.0,1,builtins.float:0.103|math.sqrt:0.100|builtins.float:0.100
321,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.087|builtins.float:0.078|builtins.float:0.070
322,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.087|builtins.float:0.078
323,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.087
324,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.100
325,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.074|math.sqrt:0.071|math.sqrt:0.071
326,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|math.sqrt:0.074|math.sqrt:0.071
327,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.090|math.sqrt:0.070|math.sqrt:0.065
328,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.090|math.sqrt:0.070
329,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.094|builtins.float:0.087|math.sqrt:0.065
330,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.094|builtins.float:0.087
331,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|builtins.float:0.094
332,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.100
333,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.100
334,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.100|math.sqrt:0.100
335,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.069|builtins.float:0.068|builtins.float:0.066
336,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.069|builtins.float:0.068
337,Hierarchical Chaining,none,1.0,1,builtins.float:0.100|builtins.float:0.100|builtins.float:0.069
338,Hierarchical Chaining,builtins.float,-1.0,0,builtins.float:0.084|builtins.float:0.082|builtins.float:0.063
339,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|builtins.float:0.084|builtins.float:0.082
340,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.084|builtins.float:0.083|builtins.float:0.076
341,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.084|builtins.float:0.083
342,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.084
343,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.080|math.sqrt:0.080|math.sqrt:0.076
344,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.088|math.sqrt:0.083|math.sqrt:0.079
345,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.088|math.sqrt:0.083
346,Hierarchical Chaining,builtins.float,-1.0,0,math.sqrt:0.090|math.sqrt:0.084|math.sqrt:0.079
347,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.090|math.sqrt:0.084
348,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.090
349,Hierarchical Chaining,math.sqrt,-1.0,0,math.sqrt:0.083|math.sqrt:0.081|math.sqrt:0.080
350,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.083|math.sqrt:0.081
351,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|math.sqrt:0.083
352,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
353,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
354,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
355,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
356,Hierarchical Chaining,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
357,Arithmetic Reasoning,none,1.0,1,math.sqrt:0.100|math.sqrt:0.100|builtins.float:0.100
358,Arithmetic Reasoning,builtins.float,-1.0,0,math.sqrt:0.057|math.sqrt:0.057|math.sqrt:0.057
